description,biddable,startprice,condition,cellular,carrier,color,storage,productline,UniqueID
Small dent in top right side. Works great.,1,95,Used,0,None,Unknown,16,iPad 2,11996
,1,550,Used,1,Unknown,White,128,iPad Air 2,11997
,0,135,Used,0,None,Black,32,iPad 2,11998
,0,115,Used,0,None,Space Gray,16,iPad mini,11999
,1,100,Used,0,None,White,16,iPad 2,12000
Excellent Condition no scratches on glass.,1,85,Used,1,AT&T,Black,64,iPad 1,12001
,1,0.1,New other (see details),0,None,White,32,iPad 2,12002
iPad mini 1st gen wi-fi 16gb is in perfect working order.,1,0.99,Used,0,None,Unknown,16,iPad mini,12003
"Only used a handful of times, like new",1,50,Used,0,None,Unknown,16,iPad 2,12004
,1,49.99,Used,0,None,Black,16,iPad mini 2,12005
Good used condition.,1,129.99,Used,0,None,White,16,iPad mini 2,12006
,1,99,Used,0,None,Black,16,iPad 2,12007
,1,300,New,Unknown,Unknown,Unknown,Unknown,Unknown,12008
"Almost like new, very few scratches.",1,150,Used,0,None,Unknown,16,iPad mini 2,12009
In good shape. See photos.,1,0.98,Used,1,Verizon,Unknown,32,iPad mini,12010
,1,0.99,Used,0,None,Black,16,iPad mini,12011
Used very good,0,179.99,Used,1,Verizon,White,64,iPad 2,12012
Great condition.,0,235.99,Manufacturer refurbished,0,None,Black,16,iPad 3,12013
This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ,0,239.99,Used,1,Verizon,Black,64,iPad mini,12014
Excellent Condition no scratches on glass.,1,85,Used,1,AT&T,Black,64,iPad 1,12015
,0,190,Manufacturer refurbished,1,Sprint,Unknown,16,iPad mini,12016
,1,1,Used,1,AT&T,Black,16,iPad 1,12017
,1,0.99,Used,0,None,Unknown,32,iPad 1,12018
,1,85,Used,1,Verizon,Black,16,iPad 2,12019
,1,70,Used,0,None,Black,32,iPad 1,12020
,1,70,Used,0,None,Black,16,iPad 2,12021
,1,40,Used,0,None,White,32,iPad 1,12022
,1,19.99,Seller refurbished,0,None,Black,32,iPad 1,12023
"Glass is Lifting from Bezel, has nicks and scratches but this is Still 100% Fully Functional, Clean ",0,160,Used,1,AT&T,Unknown,16,iPad 2,12024
"I pad is in excellent used condition, always covered and skinned, very small scratch on screen, ",1,10,Used,0,None,Black,16,iPad 1,12025
,1,1,Used,1,Verizon,Unknown,16,iPad 3,12026
,1,1,Used,1,Verizon,Unknown,64,iPad 1,12027
"very good used condition, well taken care of!",1,290,Used,0,None,Unknown,16,iPad mini,12028
lost original box and charger but comes with USB and case,1,150,New other (see details),0,None,Unknown,16,iPad 4,12029
,1,0.99,Used,0,None,Black,32,iPad 1,12030
"Good Condition(8.25/10), 100% functional with Flawless Retina Display. Unit has a dent on upper left ",1,1,New other (see details),0,None,Black,32,iPad mini 2,12031
,1,259.99,Used,0,None,White,16,iPad Air,12032
,1,180,Used,1,AT&T,Black,64,iPad 2,12033
,1,288,Used,1,Verizon,Space Gray,32,iPad Air,12034
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, iCloud Clear, ",0,291.99,Seller refurbished,0,None,White,64,iPad 4,12035
Please read details below.,0,289.79,Used,0,None,White,16,iPad Air,12036
,0,90,Used,1,AT&T,Black,64,iPad 1,12037
This iPad is working and is tested 100%. It runs great. It is in good condition but has a small dent ,0,199.99,Used,0,None,Unknown,16,iPad 3,12038
,1,150,Used,1,AT&T,Black,64,iPad mini,12039
,0,259,Used,1,Unknown,Black,16,iPad 4,12040
,1,150,Used,0,None,Black,32,iPad mini,12041
Only used for a couple of days,1,120,Seller refurbished,0,None,Unknown,16,Unknown,12042
,0,499.99,Used,1,Verizon,Unknown,16,iPad Air 2,12043
"Shows very little wear from use. Has personalized name on back, but can easily be removed/covered up",1,93,Used,0,None,Unknown,64,iPad 1,12044
,1,450,New,0,None,Space Gray,64,iPad Air 2,12045
,1,139,Used,0,None,Unknown,16,iPad 2,12046
,0,520,New,0,None,Unknown,64,iPad Air 2,12047
,1,74.99,Used,0,None,Black,16,iPad 1,12048
,1,20,Used,0,None,Black,32,iPad 2,12049
Grade B refurbished.  No factory packaging.  Small dent in side casing (see photos).  Several ,0,249.99,Manufacturer refurbished,1,Verizon,Black,16,iPad 4,12050
,1,25,Used,Unknown,Unknown,Unknown,16,Unknown,12051
,0,175,Used,0,None,White,16,iPad 2,12052
,1,189,Used,0,None,Unknown,16,iPad 4,12053
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,169,Used,0,None,White,64,iPad 2,12054
,1,29.99,Used,1,Other,Black,16,iPad 1,12055
,1,90,Used,1,AT&T,Unknown,64,iPad Air,12056
item that has been restored to working order  item is not in original packaging may have light ,0,230,Seller refurbished,0,None,White,16,iPad mini 2,12057
"Some scratches and tape residue visible on the back from previous owner.
Item is used and shows ",1,249.98,Used,0,None,Unknown,16,iPad Air,12058
Excellent condition...like new...........,1,140,Used,0,None,Unknown,16,iPad mini,12059
,0,145,Used,0,None,Unknown,16,iPad mini,12060
,1,0.01,Used,1,Unknown,White,32,iPad 1,12061
,1,1,Used,1,AT&T,Unknown,16,iPad mini,12062
Used. Absolute must-have. Some signs of use.Scratches on the back of the device. See photos. Comes ,1,195,Used,0,None,Unknown,32,iPad 4,12063
,1,250,Used,0,None,White,16,iPad Air 2,12064
,1,125,Used,0,None,Unknown,16,iPad mini,12065
,1,179.99,Used,0,None,Black,16,iPad 3,12066
,1,99.95,Used,1,Verizon,Unknown,16,iPad 3,12067
,1,1,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,12068
,0,559.99,New other (see details),0,None,Unknown,64,iPad 4,12069
,0,290,Used,0,None,Black,16,iPad 3,12070
Please read details below. There some personal greeting title on back cover from a previous owner as ,0,92.14,Used,0,None,Unknown,16,iPad 1,12071
,1,99.99,Used,0,None,Unknown,16,iPad 2,12072
,1,79,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,12073
Has been reset to original factory settings.,1,290,Seller refurbished,1,Verizon,White,16,iPad Air,12074
,1,225,Seller refurbished,1,Verizon,White,32,iPad 3,12075
,1,9.99,Used,0,None,Black,32,iPad 2,12076
"Like new. Fully functional, No damage at all.  It comes in the original apple box.",0,171.95,Used,0,None,Unknown,16,iPad mini,12077
"This item is used and in acceptable condition. Moderate scratches around the side and back, dented ",0,189.99,Used,1,AT&T,Unknown,16,iPad 2,12078
,1,199,Used,0,None,Space Gray,64,iPad mini 3,12079
The iPad is in very good condition. On the upper right side there is a small chip on the side of the ,1,149.99,Used,0,None,Unknown,32,iPad 3,12080
,1,150,New other (see details),0,None,White,16,iPad 3,12081
,1,99,Used,0,None,Space Gray,16,iPad mini,12082
The screen has a few scratches. There are a few dings around the edges. The back has a few scratches ,1,50,Used,1,Unknown,Unknown,64,iPad 1,12083
Minor wear and tear. Device is fully operational and in working order. No major scratches on screen ,1,0.01,Used,0,None,White,16,iPad 2,12084
,0,230,New,0,None,Black,16,iPad mini,12085
Please read details below. There some personal greeting title on back cover from a previous owner as ,0,92.14,Used,0,None,Unknown,16,iPad 1,12086
"Used Apple iPad 4th Generation 64GB, Wi-Fi, 9.7in - Black,has signs of wear, has been restored to ",1,0.99,Used,0,None,Black,64,iPad 4,12087
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,215,Used,Unknown,Unknown,White,32,iPad 3,12088
"Like new condition. No scratches,clear bright display.New original charger included.",1,99,Used,1,AT&T,White,64,iPad 1,12089
Used. Not iCloud Locked.,1,90,Used,1,Unknown,Black,16,iPad Air,12090
Won&#039;t hold charge/ cracked screen,1,0.99,Used,0,None,Unknown,32,iPad mini,12091
,1,174.99,Used,0,None,White,16,iPad 2,12092
"Cracked screen, all buttons, volume and functions work.",1,150,Used,0,None,Unknown,16,iPad mini,12093
,1,95,Used,1,Verizon,Black,32,iPad 2,12094
"Screen was replaced with a white one, it does not affect iPad&#039;s functioanlity",0,144.99,Seller refurbished,0,None,Space Gray,16,iPad mini,12095
,0,9,Used,Unknown,Unknown,Space Gray,64,iPad Air 2,12096
this ipad is fully functional and in excellent condition. icloud has been deactivated and ready for ,1,99.99,Used,0,None,White,64,iPad Air,12097
Almost new condition. Some scuffs around two of the corners but nothing noticeable. Works great. ,0,150,Used,0,None,Unknown,16,iPad mini,12098
,1,170,Used,Unknown,Unknown,Space Gray,16,iPad 2,12099
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,204,Used,1,AT&T,White,16,iPad 3,12100
"This item is used and in acceptable condition. Moderate scratches around the side and back, dented ",0,189.99,Used,1,AT&T,Unknown,16,iPad 2,12101
,1,1,New,1,AT&T,Space Gray,128,iPad mini 2,12102
In great shape. Almost new.,0,367.97,Used,1,AT&T,Unknown,32,iPad 4,12103
,0,370,Used,1,AT&T,Unknown,32,iPad Air,12104
,1,0.99,Used,0,None,White,64,iPad 2,12105
This is an iPad Air first generation (gray color). It&#039;s a used iPad (just like new) as shown in the ,0,290,Used,0,None,Unknown,16,iPad Air,12106
,1,0.99,Used,0,None,Unknown,32,iPad Air,12107
,1,329.99,Used,Unknown,Unknown,White,Unknown,iPad mini 2,12108
New Open Box,0,259.99,New other (see details),1,Sprint,White,64,iPad mini,12109
MINT CONDITION,0,374.99,Used,1,Verizon,Space Gray,32,iPad Air,12110
,1,200,Used,0,None,Space Gray,64,iPad mini 2,12111
,1,480,New,0,None,White,64,iPad Air 2,12112
,1,200,New other (see details),0,None,White,32,iPad Air,12113
,1,75,Used,0,None,Black,16,iPad 2,12114
,1,200,Used,0,None,White,32,iPad 2,12115
,1,99.99,Used,0,None,White,16,iPad 2,12116
,1,225,Used,0,None,Unknown,32,iPad mini,12117
,1,30,Used,0,None,White,16,iPad 2,12118
,0,181,Used,0,None,Unknown,16,iPad mini,12119
In excellent condition. No scratches and has been in case since purchased. Will send chargers for ,0,259.99,Used,0,None,Black,16,iPad 4,12120
Mint condition!,1,75,Used,0,None,White,16,iPad mini,12121
,1,469.99,Used,1,Verizon,Space Gray,64,iPad Air 2,12122
,1,5,Used,0,None,Space Gray,16,iPad mini,12123
Used iPad but in great shape.  The upper left corner had been dinged but it has been re-shaped and a ,1,50,Used,0,None,Black,16,iPad 4,12124
,1,99.99,Used,0,None,Black,64,iPad 4,12125
,1,99,Used,0,None,Space Gray,16,iPad mini 3,12126
,1,200,Used,1,T-Mobile,White,64,iPad Air,12127
,0,165,Seller refurbished,0,None,Black,16,iPad 2,12128
,1,25,Used,0,None,Space Gray,Unknown,iPad mini,12129
"Excellent condition, spent its entire life in an otter box.",1,50,Used,0,None,Unknown,16,iPad mini,12130
"This is a A- Stock item, meaning the unit is in a very good cosmetic condition. It shows a smooth ",0,389.99,Used,1,AT&T,Unknown,64,iPad Air,12131
LIKE NEW!!!!!!!! iPad contains a small engraved University of Arizona emblem. No scratches or wear.,1,200,Used,0,None,Black,16,iPad 4,12132
3 of 5. This item is gently used. The item shows minor to average signs of wear and tear including ,0,144.99,Used,0,None,Unknown,16,iPad 2,12133
"iCloud Locked. For Use if you can unlock it, or parts.",1,100,Used,0,None,Space Gray,16,iPad Air,12134
,0,275,Used,1,Unknown,White,64,iPad 2,12135
Used. Absolute must-have. Some signs of use. Scratches on the back of the device. See photos. Comes ,1,112,Used,0,None,Unknown,16,iPad mini,12136
Device is in AVERAGE used cosmetic condition with heavy scratches and wear. Color is black.Device is ,0,74,Used,1,AT&T,Unknown,16,iPad 1,12137
,1,140,Used,0,None,White,16,iPad 2,12138
,1,0.99,New,1,Unknown,White,16,iPad mini 2,12139
Has the normal wear that you would expect from a used item.,1,129.95,Used,0,None,Unknown,64,iPad 1,12140
"Used: An item that has been used previously. The item has some signs of cosmetic wear, but is fully ",1,238,Used,0,None,Black,16,iPad 4,12141
,0,185,Used,0,None,Unknown,16,iPad mini,12142
,0,211.5,Used,0,None,Unknown,32,iPad mini,12143
,0,314.99,Used,0,None,Black,16,iPad 3,12144
,1,99,Used,0,None,White,16,iPad mini,12145
Please see pics and description for condition.,1,0.99,Used,1,AT&T,Unknown,16,iPad Air,12146
Very good condition,1,50,Used,1,AT&T,Black,32,iPad mini,12147
"Tested, in good working condition.",0,124.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12148
Very good condition. Kept in protective case and well cared for. Has 2 minor dents on corners (no ,1,0.99,Used,0,None,White,16,iPad 2,12149
,0,417,Used,0,None,White,64,iPad 2,12150
,1,96,Used,0,None,Space Gray,32,iPad 2,12151
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12152
ITEM IS BRAND NEW AND NEVER REMOVED FROM BOX.  SHRINK WRAP MAY HAVE SOME TEARS.  NEW FACTORY SEALED,0,310,New other (see details),0,None,Unknown,16,iPad 2,12153
Only Opened box but is new,1,350,New other (see details),0,None,White,128,iPad mini 3,12154
No cracksNo scratches Nothing not working,1,200,Used,0,None,Unknown,16,iPad 2,12155
Original IPAD 1st generation - used one owner (myself)Good shape as pictured. Fully functional as ,1,40,Used,0,None,Black,32,Unknown,12156
â€œIn very good shape! Like new condition!â€ù,1,107,Used,1,AT&T,Black,32,iPad 4,12157
In good working condition with scratches from normal use,0,189.99,Used,0,None,Black,16,iPad 2,12158
CONDITION: Brand New condition in replacement box. Does NOT include original box. Tablet comes ,0,379,New other (see details),0,None,Space Gray,16,iPad Air,12159
,1,25,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,12160
,1,99.99,Used,0,None,White,16,iPad 2,12161
,1,199,Used,0,None,Unknown,32,iPad Air,12162
THIS IPAD IS IN EXCELLENT WORKING CONDITION NO SCRATCHES ON SCREEN A SLIGHT DENT ON ONE OF THE ,1,179,Used,1,Verizon,Black,64,iPad 2,12163
I USED 1 WEEK . I GOT GIFT NEW IPAD BECAUSE I DON&#039;T NEED 2 IPADS.,0,50,Used,0,None,Black,Unknown,Unknown,12164
gently used. like new,0,265,Used,0,None,Unknown,16,iPad Air,12165
,1,0.99,Used,0,None,White,16,iPad mini 2,12166
,1,325,New,0,None,Space Gray,128,iPad mini 2,12167
,1,99,Used,0,None,Unknown,32,iPad 2,12168
Used. Absolute must-have. Some signs of use. Scratches and stains on the back of the device. See ,1,121,Used,1,Verizon,Unknown,16,iPad 2,12169
In excellent condition. Minor scratches on the back. Screen in mint condition. Comes in original ,0,200,Used,1,AT&T,Black,32,iPad 3,12170
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,179,Used,0,None,White,64,iPad 2,12171
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12172
"iPad is in Great condition, the screen is in great condition showing only a few minor scratches, the ",1,0.99,Used,0,None,Unknown,16,iPad mini 2,12173
,1,199.99,New,Unknown,Unknown,Unknown,32,iPad Air 2,12174
,0,199,Used,Unknown,Unknown,Unknown,16,iPad 4,12175
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ,0,369.99,Used,1,Verizon,Space Gray,64,iPad Air,12176
,1,10,New other (see details),0,None,White,64,iPad 4,12177
ITEM IS BRAND NEW AND NEVER TAKEN OUT OF FACTORY PACKAGE.  SHRINK WRAP MAY HAVE SOME TEARS.  BOX AND ,0,410,New other (see details),0,None,Unknown,32,iPad 4,12178
,0,168,Used,0,None,Black,16,iPad mini,12179
,1,150,Used,1,AT&T,Unknown,64,iPad 2,12180
Good condition and fully functional,1,60,Used,0,None,White,16,iPad 1,12181
,1,200,Used,0,None,Unknown,16,iPad Air,12182
,1,149,Used,0,None,White,16,iPad mini,12183
I USED 1 WEEK . I GOT GIFT NEW IPAD BECAUSE I DON&#039;T NEED 2 IPADS.,0,50,Used,0,None,Black,Unknown,Unknown,12184
Perfect working order!! No chips or dings...very nice condition.,1,220,Used,1,Verizon,Unknown,16,iPad 4,12185
"Fully functional, in excellent condition. All original paperwork and packaging is included.",1,249.99,Used,1,Verizon,Unknown,64,iPad 3,12186
,1,325,Used,0,None,Space Gray,32,iPad Air,12187
,1,150,Used,1,AT&T,Black,Unknown,iPad 2,12188
,1,149,Used,1,Verizon,Unknown,32,iPad 2,12189
,1,50,Used,0,None,Black,16,iPad mini,12190
,1,299,Used,0,None,Black,64,iPad 3,12191
Excellent condition,1,300,Used,0,None,Unknown,16,iPad Air,12192
,0,214.98,New,0,None,White,16,iPad mini,12193
,0,150.99,Used,0,None,Unknown,16,iPad 2,12194
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches and ,0,199.99,Used,0,None,Unknown,32,iPad mini,12195
,1,89,Used,0,None,Black,16,iPad 2,12196
Excellent condition except for one nick on the corner shown in pics.,0,299.99,Used,1,AT&T,Unknown,32,iPad 3,12197
