description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
,0,240,Manufacturer refurbished,0,None,White,16,iPad 4,0,10053
,0,69.99,Used,0,None,Black,16,iPad 1,0,10054
Like New,0,398.99,Used,0,None,Unknown,128,iPad Air,0,10055
,1,175,Used,0,None,Unknown,16,iPad mini 2,1,10056
,0,84.99,Used,0,None,Space Gray,16,iPad mini,0,10057
,0,269.99,New,0,None,Black,16,iPad 1,0,10058
Will have some cosmetic damage.,0,295,Used,1,Verizon,Unknown,32,iPad 4,0,10059
Minor scuffs in the back. Otherwise looks flawless.  See all pictures.,0,210,Used,1,Sprint,White,16,iPad mini,0,10060
,1,160,Used,0,None,White,16,iPad Air,1,10061
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,Used,0,None,Unknown,64,iPad 2,1,10062
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,304.89,Seller refurbished,0,None,Unknown,64,iPad 4,0,10063
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,Used,1,Verizon,Unknown,16,iPad 2,1,10064
,0,195,Used,0,None,Unknown,16,iPad mini,0,10065
,0,319,New,Unknown,Unknown,Gold,Unknown,Unknown,0,10066
,0,389.99,Used,0,None,Space Gray,64,iPad Air,0,10067
14 Days Warranty. Product has some sign of wear and scratches from previous use. (Please see ,0,79.99,Seller refurbished,1,AT&T,Black,16,iPad 1,1,10068
,0,254.99,Used,1,AT&T,Unknown,32,iPad 4,0,10069
"Heavily used, digitizer is cracked in top right corner, plastic cover over 4G antenna has a crack in ",1,115,Used,1,AT&T,Black,16,iPad 3,1,10070
"Overall Good Condition with regular wear, dings in corners and some minor scratches on the screen.",0,159.95,Used,1,Unknown,Black,32,iPad 2,0,10071
this item used work fine in good condition come with original ac adapter and USB cable,0,279.99,Used,Unknown,Unknown,Unknown,Unknown,iPad Air,0,10072
,1,99.99,Seller refurbished,1,AT&T,Black,16,iPad 2,1,10073
,1,75,Used,0,None,Unknown,32,iPad 1,1,10074
,1,135,Used,0,None,Unknown,16,iPad mini,1,10075
"Works perfectly, NOT iCloud locked, 1 owner. It is in not in very good conditions, but works ",0,130,Used,0,None,Black,16,iPad mini,1,10076
"Overall Good Condition with regular wear, some dings in corners and minor scratches on the screen.",0,119.95,Used,0,None,Black,32,iPad 2,0,10077
,1,50,Used,0,None,Black,16,iPad 1,1,10078
,0,269.94,New other (see details),0,None,Black,64,iPad 2,0,10079
,0,380,Manufacturer refurbished,0,None,Unknown,64,iPad Air,1,10080
,1,0.99,Used,0,None,White,16,iPad 2,1,10081
,0,169.95,New,0,None,Black,16,iPad 1,0,10082
,0,319.85,Seller refurbished,0,None,Black,32,iPad Air,0,10083
,0,329.99,Used,1,AT&T,Unknown,32,iPad Air,0,10084
,0,249.95,New other (see details),1,Verizon,White,16,iPad 2,0,10085
"Works perfectly, NOT iCloud locked, 1 owner. It is in not in very good conditions, but works ",0,130,Used,0,None,Black,16,iPad mini,1,10086
,0,550,New,0,None,Gold,64,iPad Air 2,0,10087
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,169.98,Seller refurbished,1,AT&T,Black,64,iPad 2,0,10088
No scratches. Comes with Screen protector and charger.,0,149.99,Seller refurbished,0,None,Black,16,iPad 2,1,10089
,1,305,Used,0,None,White,16,iPad Air 2,1,10090
,1,0.01,Seller refurbished,0,None,Unknown,16,iPad 2,1,10091
,1,450,New other (see details),0,None,Unknown,64,iPad Air 2,1,10092
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,194.29,Seller refurbished,0,None,White,32,iPad mini,0,10093
,0,193.15,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10094
,1,62,Used,0,None,Black,64,iPad 1,1,10095
Open Box Excellent Condition .. All original accessories included in its original box.,0,489.99,New other (see details),0,None,Unknown,64,iPad Air 2,0,10096
,1,99,Used,0,None,White,16,iPad 3,1,10097
Cracked screen and locked,1,45,Used,0,None,Unknown,16,iPad 3,1,10098
Grade C-Major Dent and Scratched,0,134.95,Used,0,None,Black,16,iPad 2,1,10099
,0,199.99,Used,0,None,Black,16,iPad 3,0,10100
This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ,0,264.99,Used,0,None,Space Gray,32,iPad mini 2,1,10101
,0,349,Seller refurbished,0,None,Space Gray,32,iPad Air,0,10102
Has a small crack on top right corner,1,160,Used,0,None,Black,16,iPad mini 2,0,10103
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,295,Used,1,Unknown,White,64,iPad 4,0,10104
,0,199,Seller refurbished,0,None,White,16,iPad 4,1,10105
,0,279.95,New,0,None,Unknown,32,iPad 1,0,10106
,0,149.95,New other (see details),1,Unknown,Black,64,iPad 1,0,10107
,1,290,Used,0,None,White,32,iPad Air,1,10108
,0,339.99,New,0,None,Space Gray,16,iPad Air,1,10109
iPads are in great shape. Very minor cosmetic scuffs on the back. Screens are in excellent shape. ,0,99,Seller refurbished,1,AT&T,Black,64,iPad 1,0,10110
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,320,Used,1,Unknown,White,64,iPad 4,0,10111
,1,255,Seller refurbished,1,Unknown,Black,16,iPad mini,0,10112
READiPad is used but in excellent condition. Absolutely nothing wrong with it and it has recently ,1,114.99,Used,0,None,Unknown,16,iPad mini,1,10113
"comes with: grey ipad divider case, white stylus, Apple USB wall charger and USB cord. HDMI adaptor ",1,250,Used,0,None,White,16,iPad Air,1,10114
"Barely used, like new",0,250,Used,0,None,Unknown,16,iPad 3,0,10115
,0,549.99,Used,1,Verizon,Space Gray,64,iPad Air 2,0,10116
,0,215,Used,1,AT&T,Unknown,32,iPad mini,1,10117
,1,325,Used,0,None,Space Gray,128,iPad Air,1,10118
Brand new unopened still sealed ipad air 2.,1,199.99,New other (see details),1,Sprint,White,16,iPad Air,1,10119
,1,250,Used,1,Unknown,White,64,iPad mini 3,0,10120
Grade B+ refurbished.  No factory packaging.  There is a surface level scratch on the rear casing ,0,249.99,Manufacturer refurbished,1,Verizon,Black,16,iPad 4,0,10121
,0,299.99,New other (see details),1,Unknown,White,16,iPad mini,0,10122
,1,159.99,New,0,None,White,16,iPad mini,1,10123
,1,9.99,Used,0,None,White,16,iPad 3,1,10124
,1,125,Used,0,None,Black,32,iPad 4,1,10125
Will have some cosmetic damage.,0,344,Used,0,None,Unknown,64,iPad 4,0,10126
,1,100,Used,0,None,Unknown,16,iPad 1,0,10127
"Barely used, like new",0,250,Used,0,None,Unknown,16,iPad 3,0,10128
good condition,0,175,Used,0,None,Unknown,32,iPad 2,0,10129
New - Open Box. Charger included.,1,100,New other (see details),Unknown,Unknown,Unknown,Unknown,Unknown,1,10130
,0,150,Used,0,None,Unknown,16,iPad 2,1,10131
"Overall good condition. Some wear from use. Scratches/scuffs/nicks/scrapes on unit housing back, ",0,119.99,Used,1,Verizon,Unknown,16,iPad 2,0,10132
,0,225,Used,1,Verizon,Black,16,iPad 3,0,10133
,1,49.49,Used,0,None,Unknown,32,iPad 1,1,10134
,1,225,Seller refurbished,1,AT&T,Black,16,iPad 4,0,10135
â€œâ€œâ€œCustomer or Carrier Return. Cosmetic condition is 9 of 10.â€ù NOT IN ORIGINAL BOXâ€ùâ€ù,0,389.99,New other (see details),0,None,Unknown,128,iPad Air,0,10136
,1,255,Used,0,None,Black,64,iPad 4,1,10137
Works great. I dinged corner. Doesn&#039;t affect use. If you add a case ding is completely unnoticeable.,1,25,Used,1,AT&T,Unknown,16,iPad 1,1,10138
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,274.99,Seller refurbished,1,AT&T,Space Gray,16,iPad Air,0,10139
,1,0.99,Used,0,None,Unknown,16,iPad mini,1,10140
Like new. Was never really used. A few scratches on the back.,1,185,Seller refurbished,0,None,Unknown,64,iPad 3,1,10141
,1,250,Used,0,None,Black,32,iPad 3,1,10142
,1,99,Used,1,T-Mobile,Space Gray,16,iPad mini 2,1,10143
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,215,Used,1,AT&T,White,32,iPad 3,0,10144
,1,58,Used,Unknown,Unknown,Black,Unknown,Unknown,1,10145
Great working iPad.  Minor surface scratches on back as pictured.  Other very light scratching which ,0,187.5,Used,0,None,Black,16,iPad 3,0,10146
Note: One of the corners is slight scratched,0,189.99,Used,0,None,White,16,iPad 3,1,10147
,0,229,Used,0,None,Space Gray,16,iPad mini 2,0,10148
"iPad has average amount of scratches, scuffs and possible dings on the corners, but overall Good ",0,159.93,Used,1,Verizon,Unknown,32,iPad 2,0,10149
,1,89.95,Used,0,None,Black,32,iPad 2,1,10150
This iPad 2 is iCloud locked I repeat it is iCloud locked if you can get the iCloud lock off of it ,1,60,Seller refurbished,0,None,White,16,iPad 2,1,10151
"Includes iPad, charger, wall plug, and Apple iPad Smart Case. Front screen excellent condition ",1,0.99,Used,0,None,Unknown,32,iPad 3,1,10152
,0,639.99,Seller refurbished,1,Unknown,Unknown,128,iPad Air 2,0,10153
"rubber lining worn out, light scratches on the&lt;br&gt;back.  works great.",1,40,Used,0,None,Unknown,16,iPad 1,1,10154
This listing does not include a charger.,0,284.99,Used,Unknown,Unknown,White,16,iPad mini 3,0,10155
,1,29.99,Used,1,AT&T,Black,64,iPad 1,1,10156
,1,49.99,Used,1,AT&T,Black,16,iPad 1,1,10157
This iPad 2 is used and is in good working order. It has scuffs/scratches from general use. Note ,0,139.98,Used,0,None,Black,16,iPad 2,0,10158
,0,199,Used,Unknown,Unknown,Unknown,Unknown,iPad mini,1,10159
Grade A refurbished.  Opened / components unsealed.  No factory packaging.  No cosmetic damage ,0,294.99,Manufacturer refurbished,0,None,White,16,iPad Air,0,10160
,0,499,New,1,Sprint,White,128,iPad mini 2,1,10161
,1,50,Used,0,None,Black,16,iPad 1,1,10162
,0,299.99,Used,1,AT&T,Space Gray,16,iPad Air,0,10163
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,270,Used,1,Unknown,White,32,iPad 4,0,10164
Excellent condition see pictures.,1,80,Used,1,AT&T,Black,64,iPad 1,1,10165
,1,0.01,Seller refurbished,0,None,Unknown,32,iPad 4,1,10166
LIKE BRAND NEW 100% MONEY BACK GUARANTEE,0,399.99,Used,0,None,White,16,iPad Air,0,10167
,0,279.95,New,0,None,Unknown,32,iPad 1,0,10168
,1,50,Used,1,AT&T,Black,16,iPad 1,1,10169
,0,329,New,0,None,Black,16,iPad mini 2,0,10170
Great working iPad.  Very minor surface scratches on back as pictured.  Other very light scratching ,0,187.5,Used,0,None,Black,16,iPad 3,0,10171
,0,269,Used,0,None,Unknown,32,iPad mini 2,0,10172
,1,50,Used,1,AT&T,Unknown,16,iPad mini,1,10173
Please see images and refer closely to the description.,1,0.99,Used,0,None,White,16,iPad mini,1,10174
,1,65,Used,0,None,Black,16,iPad 1,1,10175
,1,89.99,Used,0,None,Black,16,iPad mini,1,10176
,1,149,New,0,None,White,16,iPad mini 3,1,10177
"Housing Condition-Moderate Scratches/Dent, No Cracked/Damaged
Screen Condition-Moderate Scratches, ",0,184.95,Used,1,Verizon,Black,32,iPad 3,1,10178
Very Good Condition,1,99,Used,0,None,Space Gray,16,iPad mini,1,10179
,1,225,Used,1,Verizon,White,16,iPad mini 2,1,10180
,1,200,Used,1,AT&T,Unknown,16,iPad Air,1,10181
,1,100,Used,1,AT&T,Black,64,iPad 1,0,10182
It&#039;s in an open box with all accessories still in the original packaging.,0,319,New other (see details),0,None,Black,16,iPad Air,1,10183
,0,15,Used,0,None,Black,16,iPad 2,0,10184
,1,99,Used,0,None,Unknown,16,iPad 2,1,10185
,1,99.99,Used,0,None,Space Gray,16,iPad mini,1,10186
,1,174.95,Used,0,None,Unknown,16,iPad 4,1,10187
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,299,Used,1,Unknown,White,64,iPad 4,0,10188
very clean no scratch new digitizer comes with the box,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10189
,1,50,Used,0,None,Black,32,iPad 1,1,10190
,0,215,Used,1,Verizon,Black,64,iPad 2,0,10191
,1,62,Used,0,None,Black,64,iPad 1,1,10192
,1,250,Seller refurbished,1,Unknown,Black,64,iPad 3,0,10193
has a few scuffs and scratches on the front and back and something happened to sound. ringer works ,1,100,Used,1,Verizon,Unknown,64,iPad 3,1,10194
,1,200,Used,1,Unknown,Unknown,32,iPad 3,0,10195
Good to very good condition. Restored to factory settings.,1,99.99,Used,0,None,White,16,iPad mini,1,10196
"new, open box",0,404.99,New other (see details),0,None,Black,64,iPad Air,0,10197
Clean ESN.  iCloud clear.  No charger is included.  Very good condition.  See pictures.,1,0.99,Used,1,Unknown,Unknown,16,iPad Air 2,1,10198
In great working condition. Very little where in tear.,1,50,Used,0,None,Black,16,Unknown,0,10199
,0,89.99,Used,0,None,Space Gray,16,iPad mini,0,10200
Screens are in great shape!  Digitizer issues.,1,49.99,Used,Unknown,Unknown,Black,Unknown,Unknown,1,10201
,1,100,Used,1,Verizon,Black,64,iPad mini,1,10202
"iPad is in great condition. Works perfect, still as fast a day one. There is normal wear and tear ",1,79.99,Used,0,None,Unknown,16,iPad 4,1,10203
Overall good condition. Some wear from use. Some scratches on back housing. Screen has minor ,0,309.99,Used,Unknown,Unknown,Unknown,Unknown,iPad 4,0,10204
"Excellent Condition, always has screen protector on and been in Smart Case/Cover",0,415,Used,1,Unknown,Unknown,64,iPad Air,1,10205
,0,200,Used,1,AT&T,White,16,iPad 2,0,10206
,0,269,Used,0,None,Unknown,32,iPad mini 2,0,10207
Good used condition. Restored to factory settings.,1,184.99,Used,0,None,Space Gray,16,iPad Air,1,10208
,1,50,Used,0,None,Black,16,iPad 1,1,10209
,1,165,Used,0,None,White,64,iPad 3,1,10210
,1,25,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,1,10211
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,299,Used,1,Unknown,White,64,iPad 4,0,10212
,1,99,Used,0,None,White,16,iPad 2,1,10213
,1,99,Used,0,None,Black,32,iPad 3,1,10214
,0,374.95,Used,0,None,White,128,iPad Air,0,10215
Item is used. Item does show signs of wear from use. There are multiple surface scratches and scuffs ,0,189,Used,0,None,Unknown,64,iPad 2,0,10216
,0,75,Used,0,None,Black,16,iPad 1,0,10217
,0,175,Used,0,None,Unknown,16,iPad 3,1,10218
An item that has been restored to working order by the eBay seller or a third party not approved by ,0,480,Seller refurbished,0,None,Gold,64,iPad Air 2,0,10219
new digitizer and charger,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10220
"iPad Air 2, Very good condition, Does not include original box, Includes Apple certified ",0,465.99,Seller refurbished,0,None,Black,64,iPad Air 2,0,10221
Will have some cosmetic damage.,0,399.99,Used,0,None,Unknown,128,iPad 4,0,10222
new digitizer and charger,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10223
,1,50,Used,0,None,Black,64,iPad 1,1,10224
Almost new condition,1,70,Used,0,None,Black,16,Unknown,1,10225
I replaced the battery in this IPad roughly one year ago. I was unable to properly re-assemble it ,1,1,Used,1,Verizon,Black,16,iPad 1,1,10226
Used for only two days mint!! W blue cover,1,299.99,New other (see details),0,None,Space Gray,16,iPad mini 3,1,10227
,1,150,Used,1,AT&T,Black,64,iPad 3,1,10228
,0,187.99,Seller refurbished,0,None,Unknown,16,iPad mini 2,0,10229
,1,42,Used,0,None,White,16,iPad 1,1,10230
iPad is in GREAT condition! The screen and case has a few light surface scratches. See photos for ,1,399.99,Used,0,None,White,16,iPad Air 2,1,10231
,0,425,New,1,Unknown,Unknown,16,iPad mini 3,0,10232
,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10233
,0,339,Used,0,None,White,64,iPad mini 2,1,10234
Will have some cosmetic damage.,0,164.99,Used,1,AT&T,Unknown,32,iPad 2,0,10235
"Used. Great condition, Please refer to photos for additional information.",0,319.95,Used,1,AT&T,White,16,iPad Air,0,10236
,1,99,Manufacturer refurbished,0,None,White,16,iPad 2,1,10237
,1,0.99,Used,0,None,White,16,iPad 2,1,10238
Like New,0,398.99,Used,0,None,Unknown,128,iPad Air,0,10239
,1,55,Used,0,None,Black,32,iPad 1,1,10240
like new&lt;br&gt;,1,99.99,Manufacturer refurbished,1,Verizon,Unknown,16,iPad 3,0,10241
,1,175,Used,1,Verizon,White,64,iPad 3,1,10242
,1,140,Used,0,None,Black,16,iPad 3,1,10243
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,155,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10244
,1,300,New,0,None,Space Gray,16,iPad mini 3,1,10245
,1,400,Used,0,None,Space Gray,32,iPad Air,0,10246
,1,1,Used,0,None,Unknown,32,iPad 3,1,10247
Note: Surface scratches on the back cover,0,89.99,Used,1,AT&T,Black,32,iPad mini,1,10248
,0,114.94,Used,1,AT&T,Unknown,32,iPad 1,0,10249
,1,45,Used,0,None,Black,32,iPad 2,1,10250
iPad works however the screen replacement was not done cleanly. As a result the home button is loose ,1,89,Used,0,None,Black,16,iPad 2,1,10251
Small chip in corner.,0,159.99,Used,1,Verizon,Unknown,32,iPad 2,0,10252
,1,200,New,0,None,Unknown,16,iPad Air 2,1,10253
,1,229.97,Used,1,AT&T,Black,64,iPad 1,0,10254
,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10255
,1,40,Used,0,None,Black,16,iPad 1,1,10256
,0,499.99,New,1,AT&T,Space Gray,128,iPad mini,0,10257
,1,0.99,Used,0,None,White,16,iPad 2,1,10258
,0,150,Used,0,None,Unknown,16,iPad 2,1,10259
,0,334.99,New,Unknown,Unknown,Gold,Unknown,Unknown,0,10260
This is a used iPad. It comes with a lightening cable and power brick.  There are no cracks or ,1,250,Used,1,AT&T,White,16,iPad Air,0,10261
,1,59.95,Used,0,None,White,16,Unknown,1,10262
,1,50,Used,0,None,Unknown,16,iPad mini,1,10263
,1,225,Seller refurbished,1,AT&T,White,16,iPad 4,0,10264
,1,80,Used,0,None,Black,16,iPad 2,1,10265
"Used. Tested Cameras, speaker, charge port, buttons and touch. Has light scratches on case. Light ",0,320,Used,1,AT&T,Gold,16,iPad Air 2,0,10266
,0,335,New,0,None,Unknown,16,iPad mini 3,0,10267
,1,200,Used,1,Verizon,White,32,iPad 3,1,10268
,1,100,Used,0,None,White,16,iPad 2,1,10269
,1,29.99,Used,1,AT&T,Black,32,iPad 1,1,10270
Excellent Condition,1,75,Used,0,None,White,16,iPad 3,1,10271
,0,305,New other (see details),1,Unknown,Black,32,iPad 4,1,10272
,1,150,New,0,None,Space Gray,16,iPad mini,1,10273
,0,144.99,Used,0,None,Black,16,iPad 2,0,10274
"This Apple iPad was cherished by its previous owner and has some signs of use, there are faint ",1,78,Used,1,AT&T,Unknown,64,iPad 1,1,10275
,1,19.95,Seller refurbished,0,None,Unknown,32,iPad 2,1,10276
,0,300,Used,0,None,Space Gray,16,iPad Air,1,10277
,1,100,Used,1,AT&T,White,64,iPad 2,1,10278
"Excellent condition - 100% functional - Apple warranty valid until March 1, 2016 - There is 1 light, ",0,399,Used,0,None,Gold,16,iPad Air 2,0,10279
,1,329.99,New,0,None,Space Gray,64,iPad mini 3,1,10280
Adult owned,1,0.01,Used,1,Verizon,Unknown,128,iPad 4,1,10281
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ,0,199.99,Used,0,None,Black,64,iPad 2,0,10282
"Pristine condition, comes with a case and stylus.",1,20,Used,0,None,Unknown,64,iPad 1,0,10283
,1,100,Used,0,None,Space Gray,16,iPad Air,1,10284
,1,0.01,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,1,10285
,1,41,Used,1,Unknown,Unknown,32,Unknown,1,10286
,0,439.99,New,0,None,Unknown,16,iPad Air 2,0,10287
,1,74.99,Used,0,None,White,16,iPad 2,1,10288
Screen has had a protector on it since date of purchase.  iPad will be shipped with screen protector ,1,250,Used,1,Verizon,Black,64,iPad 3,1,10289
"Only used a handful of times, like new",1,50,Used,0,None,Unknown,16,iPad 2,1,10290
,1,0.99,Used,0,None,White,16,iPad mini,1,10291
,1,0.99,Used,1,Verizon,Black,64,iPad 3,1,10292
,1,5,Used,Unknown,Unknown,White,16,Unknown,1,10293
,1,19.99,Used,0,None,Black,16,iPad 1,1,10294
,1,50,Used,1,AT&T,Black,16,iPad 1,1,10295
,1,89.99,Used,0,None,Black,16,iPad mini,0,10296
,1,490,New,0,None,Unknown,64,iPad Air 2,1,10297
,1,99,New,0,None,Space Gray,16,iPad mini,1,10298
,1,200,Used,0,None,White,16,iPad 3,0,10299
4-5 semi deep 1&#034; scratches near top middle portion of screen.  Not really possible to photograph ,1,39.99,Used,0,None,Black,16,iPad 1,1,10300
,1,58,Used,0,None,Black,32,iPad 1,1,10301
"Great iPad, no scratch, been kept in case at all times.  I have zombie skin on it but can easily be ",1,225,Used,0,None,Unknown,16,iPad 4,0,10302
used but in extremely good condition,1,50,New other (see details),0,None,Unknown,16,iPad 2,1,10303
,1,200,Used,0,None,Space Gray,32,iPad Air,1,10304
Item shows signs of heavy wear,1,0.99,Used,1,Verizon,Unknown,32,iPad mini,1,10305
,0,80,Used,0,None,Black,16,iPad 1,1,10306
,1,250,Used,0,None,Unknown,64,iPad Air 2,1,10307
,0,325,New,0,None,White,16,iPad mini 3,0,10308
,1,25,Used,0,None,Black,16,iPad 3,1,10309
There is a small scratch in the top left of the iPad and is invisible when in use and is very hard ,1,100,Used,0,None,Unknown,32,iPad mini,1,10310
"Item is in fantastic condition. Has been used for about 3 years, but has been kept in a padfolio ",1,185,Used,0,None,White,32,iPad 4,1,10311
,0,305,New other (see details),1,Unknown,Black,32,iPad 4,1,10312
,1,99.99,Used,0,None,Unknown,16,iPad 2,1,10313
,1,500,New,1,T-Mobile,Space Gray,128,iPad Air,0,10314
,0,350,New,0,None,Unknown,16,iPad mini 2,0,10315
,0,187.99,Seller refurbished,0,None,Unknown,16,iPad mini 2,0,10316
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,109.98,Seller refurbished,1,AT&T,Unknown,64,iPad 1,0,10317
"Tested and Working. Digitizer Flickers, Changing Colors. Minor Dent on 2 Corners. Includes a Power ",1,9.99,Used,0,None,Unknown,32,iPad 2,1,10318
,0,345,New,0,None,Gold,16,iPad mini 3,1,10319
,0,350,Used,1,AT&T,White,32,iPad Air,0,10320
,1,19.95,Used,0,None,Black,64,iPad 1,1,10321
,1,5,Used,0,None,Black,16,iPad 3,1,10322
I would describe this item as excellent with no scratches. Well taken care of. Original owner.,1,100,Used,0,None,White,16,iPad 2,1,10323
,1,70,Used,0,None,Black,16,iPad 1,1,10324
,0,124,Used,0,None,Black,16,iPad 2,0,10325
,1,125,Used,0,None,Unknown,16,iPad mini,1,10326
