Name,Year,Rated,Runtime,Action,Adventure,Crime,Drama,Thriller,Fantasy,Horror,Sci.Fi,Comedy,Family,Mystery,Romance,Animation,Music,History,Documentary,Wins,Nominations,Production.Budget,Worldwide
The Lost World: Jurassic Park,1997,PG-13,129,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20,18.69834549,20.83540795
Jurassic Park III,2001,PG-13,92,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9,18.73094178,20.10854474
Scooby-Doo,2002,PG,86,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,8,18.60300247,19.79132017
Scream,1996,R,111,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,6,17.05147805,19.56598201
Scream 2,1997,R,120,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,11,17.57762845,19.54917908
Scream 3,2000,R,116,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,17.93610039,19.33379376
Scream 4,2011,R,111,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,17.53373123,18.42099149
Alien,1979,R,117,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,18,17.40937849,19.66479384
Alien_,1992,R,114,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,19,18.42068083,19.58267158
Alien: Resurrection,1997,R,109,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,15,18.72537441,19.49162377
Alvin and the Chipmunks,2007,PG,92,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,18.07710787,19.87257333
Alvin and the Chipmunks: The Squeakquel,2009,PG,88,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,18.2003801,19.97677774
Alvin and the Chipmunks: Chipwrecked,2011,G,87,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,18.18625718,19.70561117
Anacondas: The Hunt for the Blood Orchid,2004,PG-13,97,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,17.10133839,18.36818596
Paranormal Activity,2007,R,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9,9.702548317,19.16678541
Paranormal Activity 2,2010,R,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,14.94968801,19.03011411
Paranormal Activity 3,2011,R,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,15.48323157,19.20670491
Paranormal Activity 4,2012,R,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,15.45554164,18.80767476
Shrek,2001,PG,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,34,48,18.29268675,20.38127223
