"Date","Chairman","PreviousRate","Streak","GDP","Unemployment","CPI","HomeownershipRate","DebtAsPctGDP","DemocraticPres","MonthsUntilElection","RaisedFedFunds"
1983-03-01,"Volcker, Paul",8.51,-5,6578.175,10.4,98,64.7,6578.175,0,20,1
1983-04-01,"Volcker, Paul",8.77,1,6578.175,10.3,98.1,64.7,6578.175,0,19,1
1983-05-01,"Volcker, Paul",8.8,2,6728.287,10.2,98.8,64.7,36.82072,0,18,0
1983-06-01,"Volcker, Paul",8.63,-1,6728.287,10.1,99.2,64.7,6728.287,0,17,1
1983-07-01,"Volcker, Paul",8.98,1,6728.287,10.1,99.4,64.7,6728.287,0,16,1
1983-08-01,"Volcker, Paul",9.37,2,6860.022,9.4,99.8,64.8,37.29954,0,15,1
1983-09-01,"Volcker, Paul",9.56,3,6860.022,9.5,100.1,64.8,6860.022,0,14,0
1983-10-01,"Volcker, Paul",9.45,-1,6860.022,9.2,100.4,64.8,6860.022,0,13,1
1983-11-01,"Volcker, Paul",9.48,1,7001.489,8.8,100.8,64.4,37.16188,0,12,0
1983-12-01,"Volcker, Paul",9.34,-1,7001.489,8.5,101.1,64.4,7001.489,0,11,1
1984-01-01,"Volcker, Paul",9.47,1,7001.489,8.3,101.4,64.4,7001.489,0,10,1
1984-02-01,"Volcker, Paul",9.56,2,7140.597,8,102.1,64.6,37.40904,0,9,1
1984-03-01,"Volcker, Paul",9.59,3,7140.597,7.8,102.6,64.6,7140.597,0,8,1
1984-04-01,"Volcker, Paul",9.91,4,7140.597,7.8,102.9,64.6,7140.597,0,7,1
1984-05-01,"Volcker, Paul",10.29,5,7266.01,7.7,103.3,64.6,37.67614,0,6,1
1984-06-01,"Volcker, Paul",10.32,6,7266.01,7.4,103.5,64.6,7266.01,0,5,1
1984-07-01,"Volcker, Paul",11.06,7,7266.01,7.2,103.7,64.6,7266.01,0,4,1
1984-08-01,"Volcker, Paul",11.23,8,7337.493,7.5,104.1,64.6,38.46619,0,3,1
1984-09-01,"Volcker, Paul",11.64,9,7337.493,7.5,104.4,64.6,7337.493,0,2,0
1984-10-01,"Volcker, Paul",11.3,-1,7337.493,7.3,104.7,64.6,7337.493,0,1,0
1984-11-01,"Volcker, Paul",9.99,-2,7396.019,7.4,105.1,64.1,40.09466,0,0,0
1984-12-01,"Volcker, Paul",9.43,-3,7396.019,7.2,105.3,64.1,7396.019,0,47,0
1985-01-01,"Volcker, Paul",8.38,-4,7396.019,7.3,105.5,64.1,7396.019,0,46,0
1985-02-01,"Volcker, Paul",8.35,-5,7469.545,7.3,105.7,64.1,40.376,0,45,1
1985-03-01,"Volcker, Paul",8.5,1,7469.545,7.2,106.3,64.1,7469.545,0,44,1
1985-04-01,"Volcker, Paul",8.58,2,7469.545,7.2,106.8,64.1,7469.545,0,43,0
1985-05-01,"Volcker, Paul",8.27,-1,7537.928,7.3,107,64.1,41.24863,0,42,0
1985-06-01,"Volcker, Paul",7.97,-2,7537.928,7.2,107.2,64.1,7537.928,0,41,0
1985-07-01,"Volcker, Paul",7.53,-3,7537.928,7.4,107.5,64.1,7537.928,0,40,1
1985-08-01,"Volcker, Paul",7.88,1,7655.196,7.4,107.7,63.9,41.48507,0,39,1
1985-09-01,"Volcker, Paul",7.9,2,7655.196,7.1,107.9,63.9,7655.196,0,38,1
1985-10-01,"Volcker, Paul",7.92,3,7655.196,7.1,108.1,63.9,7655.196,0,37,1
1985-11-01,"Volcker, Paul",7.99,4,7712.624,7.1,108.5,63.5,43.69859,0,36,1
1985-12-01,"Volcker, Paul",8.05,5,7712.624,7,109,63.5,7712.624,0,35,1
1986-01-01,"Volcker, Paul",8.27,6,7712.624,7,109.5,63.5,7712.624,0,34,0
1986-02-01,"Volcker, Paul",8.14,-1,7784.109,6.7,109.9,63.6,43.99212,0,33,0
1986-03-01,"Volcker, Paul",7.86,-2,7784.109,7.2,109.7,63.6,7784.109,0,32,0
1986-04-01,"Volcker, Paul",7.48,-3,7784.109,7.2,109.1,63.6,7784.109,0,31,0
1986-05-01,"Volcker, Paul",6.99,-4,7819.843,7.1,108.7,63.8,45.20875,0,30,0
1986-06-01,"Volcker, Paul",6.85,-5,7819.843,7.2,109,63.8,7819.843,0,29,1
1986-07-01,"Volcker, Paul",6.92,1,7819.843,7.2,109.4,63.8,7819.843,0,28,0
1986-08-01,"Volcker, Paul",6.56,-1,7898.555,7,109.5,63.8,46.00623,0,27,0
1986-09-01,"Volcker, Paul",6.17,-2,7898.555,6.9,109.6,63.8,7898.555,0,26,0
1986-10-01,"Volcker, Paul",5.89,-3,7898.555,7,110,63.8,7898.555,0,25,0
1986-11-01,"Volcker, Paul",5.85,-4,7939.45,7,110.2,63.9,47.43297,0,24,1
1986-12-01,"Volcker, Paul",6.04,1,7939.45,6.9,110.4,63.9,7939.45,0,23,1
1987-01-01,"Volcker, Paul",6.91,2,7939.45,6.6,110.8,63.9,7939.45,0,22,0
1987-02-01,"Volcker, Paul",6.43,-1,7994.965,6.6,111.4,63.8,47.43727,0,21,0
1987-03-01,"Volcker, Paul",6.1,-2,7994.965,6.6,111.8,63.8,7994.965,0,20,1
1987-04-01,"Volcker, Paul",6.13,1,7994.965,6.6,112.2,63.8,7994.965,0,19,1
1987-05-01,"Volcker, Paul",6.37,2,8084.71,6.3,112.7,63.8,47.8958,0,18,1
1987-06-01,"Volcker, Paul",6.85,3,8084.71,6.3,113,63.8,8084.71,0,17,0
1987-07-01,"Volcker, Paul",6.73,-1,8084.71,6.2,113.5,63.8,8084.71,0,16,0
1987-08-01,"Volcker, Paul",6.58,-2,8158.035,6.1,113.8,64.2,47.95994,0,15,1
1987-09-01,"Greenspan, Alan",6.73,1,8158.035,6,114.3,64.2,8158.035,0,14,1
1987-10-01,"Greenspan, Alan",7.22,2,8158.035,5.9,114.7,64.2,8158.035,0,13,1
1987-11-01,"Greenspan, Alan",7.29,3,8292.687,6,115,64.1,48.4145,0,12,0
1987-12-01,"Greenspan, Alan",6.69,-1,8292.687,5.8,115.4,64.1,8292.687,0,11,1
1988-01-01,"Greenspan, Alan",6.77,1,8292.687,5.7,115.6,64.1,8292.687,0,10,1
1988-02-01,"Greenspan, Alan",6.83,2,8339.324,5.7,116,63.7,48.86558,0,9,0
1988-03-01,"Greenspan, Alan",6.58,-1,8339.324,5.7,116.2,63.7,8339.324,0,8,0
1988-04-01,"Greenspan, Alan",6.58,-2,8339.324,5.7,116.5,63.7,8339.324,0,7,1
1988-05-01,"Greenspan, Alan",6.87,1,8449.51,5.4,117.2,63.7,48.92094,0,6,1
1988-06-01,"Greenspan, Alan",7.09,2,8449.51,5.6,117.5,63.7,8449.51,0,5,1
1988-07-01,"Greenspan, Alan",7.51,3,8449.51,5.4,118,63.7,8449.51,0,4,1
1988-08-01,"Greenspan, Alan",7.75,4,8498.282,5.4,118.5,64,49.10242,0,3,1
1988-09-01,"Greenspan, Alan",8.01,5,8498.282,5.6,119,64,8498.282,0,2,1
1988-10-01,"Greenspan, Alan",8.19,6,8498.282,5.4,119.5,64,8498.282,0,1,1
